province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,doy,et0_penman_monteith,et0_hargreaves
Chau Doc,33,22,8,SSE,0.0,61,23,1013,2013-01-20,20,19.87913500545095,4.496771234308121
Chau Doc,30,18,16,SE,0.0,56,12,1015,2014-01-20,20,38.39850345622982,4.333842800794963
Chau Doc,31,21,9,SE,0.0,61,14,1015,2015-01-20,20,21.72485018026687,4.1455328415168475
Chau Doc,34,25,12,ESE,0.0,69,26,1012,2016-01-20,20,21.217338450816026,4.247062430114734
Chau Doc,31,24,7,ENE,4.2,76,47,1012,2017-01-20,20,11.537311328616738,3.5871824944820987
Chau Doc,32,24,7,SE,1.0,74,21,1009,2018-01-20,20,12.43130415835304,3.8771867601442973
Chau Doc,34,24,7,SSE,0.0,64,19,1012,2019-01-20,20,16.487385297717246,4.429473447100192
Chau Doc,34,23,10,SE,0.0,68,13,1012,2020-01-20,20,19.68562972152412,4.596037707471655
Chau Doc,31,21,9,NW,0.0,58,25,1011,2021-01-20,20,23.127104075224853,4.1455328415168475
Chau Doc,34,21,5,SW,0.0,62,19,1010,2009-01-22,22,14.209653162522134,4.9124049112706345
Chau Doc,31,23,9,SE,3.9,82,22,1013,2010-01-22,22,11.148201189191514,3.8110731630343437
Chau Doc,33,24,8,SE,2.4,72,46,1010,2011-01-22,22,14.667948629870319,4.177596825449254
Chau Doc,33,22,8,SE,0.2,74,19,1010,2012-01-22,22,14.3045511393899,4.518755292666626
Chau Doc,34,23,8,ESE,2.1,71,47,1013,2013-01-22,22,15.537612523861691,4.618507065131673
Chau Doc,29,18,20,E,0.0,51,13,1015,2014-01-22,22,49.340599618418835,4.119748202806438
Chau Doc,31,22,5,SSW,0.0,64,13,1016,2015-01-22,22,12.978989720459884,3.9971390792095467
Chau Doc,35,23,9,SE,0.0,67,16,1013,2016-01-22,22,18.944214905782758,4.875966967662131
Chau Doc,32,23,11,ENE,0.3,69,38,1014,2017-01-22,22,20.18345930975775,4.087367952329401
Chau Doc,32,24,6,SW,22.6,79,58,1008,2018-01-22,22,9.592949301082754,3.896141760423503
Chau Doc,33,24,10,SE,1.4,64,26,1013,2019-01-22,22,21.277338148087686,4.177596825449254
Chau Doc,34,23,10,SE,0.0,67,17,1013,2020-01-22,22,20.229220102552283,4.618507065131673
